States,Low,High
SC,13085,3861
AZ,434,219
LA,4390,1424
MN,10453,4090
NJ,5547,2761
DC,152,84
OR,9351,1262
VA,4676,4292
RI,746,813
KY,1490,1351
WY,14,60
NH,1321,363
MI,8436,7317
NV,237,204
WI,1780,1759
ID,208,52
CA,48536,19282
NE,1733,468
CT,1523,1648
MT,73,57
NC,13550,3145
VT,130,53
MD,2542,2544
DE,395,142
MO,1564,2368
IL,9046,4650
ME,383,25
WA,3743,2702
ND,1,6
MS,416,325
AL,2526,1663
IN,2664,2126
OH,5827,3522
TN,4641,2644
IA,692,1011
NM,58,72
PA,11416,4458
SD,4,8
NY,12421,8018
TX,20140,8485
WV,205,193
GA,3891,5638
MA,3291,2244
KS,319,421
FL,8590,5586
CO,2910,2565
AR,179,94
OK,3493,552
UT,3608,1229